Dealer Code,Record Updated dt,LOGIN,Location Code,Customer Name,Customer Code,Customer Category,Invoice Number,Invoice Date,Parent,Sale return Date,Invoice Status,Voucher,Type,Part No,Part Name,UOM,HSN Number,Product Type,Product Category,GST Category,GST Sub-Category,Quantity,Unit Price,Line Item Discount %,Line Item Discount,Net Selling Price,Assessable Value,VAT %,VAT Amount,Freight Amt,Packaging Charges,CGST %,CGST Amt,SGST %,SGST Amt,UT GST %,UT GST Amt,IGST %,IGST Amt,Additional Tax Amt,Additional Tax Amt2,Additional Tax Amt3,Additional Tax Amt4,Additional Tax Amt5,Cess %,Cess Amt,Total Invoice Amount,Narration,Cancellation Date,Invoice Format,Executive Name,Additional Discount %,Cash Discount %,Credit Days,Invoice Type,FRT PKG CGST %,FRT PKG CGST AMT,FRT PKG SGST/UTGST %,FRT PKG SGST/UTGST AMT,FRT PKG IGST %,FRT PKG IGST AMT,FRT PKG CESS %,FRT PKG CESS AMT
30410,45066,30410G01,B,SRI LAKSHMI BHYRAVESHWARA AUTO MOBILES - HASSAN30410-02-RC-112,30410-02-RC-112,Customer,30410BE23P3362,45066,Sale,,Open,Parts Invoice,Parts,91201GBG900S,OIL SEAL30X42X4.5DLX-91201GBG900S,PC,40169330,Spare Parts,HHML Parts,PARTS,PARTS18,10,50,27.75,13.875,36.125,361.25,,0,,146,9,3.25125,9,3.25125,0,0,0,0,0,0,0,0,0,0,0,21109.93637,30410-02-PSAO-0523-4301,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SRI LAKSHMI BHYRAVESHWARA AUTO MOBILES - HASSAN30410-02-RC-112,30410-02-RC-112,Customer,30410BE23P3362,45066,Sale,,Open,Parts Invoice,Parts,K10111HF100DS,KIT GASKET-K10111HF100DS,PC,84841090,Spare Parts,HHML Parts,PARTS,PARTS18,5,117,27.75,32.4675,84.53249,422.66245,,0,,146,9,7.60793,9,7.60793,0,0,0,0,0,0,0,0,0,0,0,21109.93637,30410-02-PSAO-0523-4301,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SRI LAKSHMI BHYRAVESHWARA AUTO MOBILES - HASSAN30410-02-RC-112,30410-02-RC-112,Customer,30410BE23P3362,45066,Sale,,Open,Parts Invoice,Parts,K28281KWAG940S,KIT CAM GUIDE-K28281KWAG940S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,3,155,33.6,52.08,102.92,308.76,,0,,146,14,14.4088,14,14.4088,0,0,0,0,0,0,0,0,0,0,0,21109.93637,30410-02-PSAO-0523-4301,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SRI LAKSHMI BHYRAVESHWARA AUTO MOBILES - HASSAN30410-02-RC-112,30410-02-RC-112,Customer,30410BE23P3362,45066,Sale,,Open,Parts Invoice,Parts,K40405KCCA901S,CHAIN COVER KIT (SPL/PAS)-K40405KCCA901S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,2,579,33.6,194.544,384.456,768.912,,0,,146,14,53.82384,14,53.82384,0,0,0,0,0,0,0,0,0,0,0,21109.93637,30410-02-PSAO-0523-4301,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,16950KTR901S,COCK ASSY.FUEL-16950KTR901S,PC,84818010,Spare Parts,HHML Parts,PARTS,PARTS18,1,192,27.25,52.32,139.68,139.68,,0,,50,9,12.5712,9,12.5712,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,17910KCC900S,CABLE COMP.THROTTLE-17910KCC900S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,10,100,33.6,33.6,66.4,664,,0,,50,14,9.296,14,9.296,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,23431GN5910S,GEAR M2 17T-23431GN5910S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,5,675,33.6,226.8,448.2,2241,,0,,50,14,62.748,14,62.748,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,25K160S,BALL RACES KIT-25K160S,PC,84821051,Spare Parts,HHML Parts,PARTS,PARTS18,5,315,27.25,85.8375,229.16249,1145.81245,,0,,50,9,20.62463,9,20.62463,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,53200KCC690S,STEM COMP STRG-53200KCC690S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,930,33.6,312.48,617.52,617.52,,0,,50,14,86.4528,14,86.4528,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,64330KZN900ZES,COVER L FLOOR SIDE(CBR R-195C)-64330KZN900ZES,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,485,33.6,162.96,322.04,322.04,,0,,50,14,45.0856,14,45.0856,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
